user_id,ho_ten,email,gioi_tinh,ngay_sinh,thanh_pho,ngay_dang_ky,diem_danh_gia_trung_binh,so_luong_sach_da_mua
1,Ngô Lan,ngolan81@gmail.com,Nữ,1988-04-05,Hà Nội,2022-02-21,4.5,44
2,Đỗ Nga,đonga16@gmail.com,Nữ,2002-01-03,Hải Phòng,2022-06-28,3.4,33
3,Bùi Huy,buihuy95@gmail.com,Nam,2004-04-15,Đà Nẵng,2022-02-24,4.2,1
4,Vũ Long,vulong88@gmail.com,Nam,1990-03-07,Đà Nẵng,2025-11-30,4.9,22
5,Vũ Dung,vudung25@gmail.com,Nữ,1988-06-20,HCM,2022-07-09,3.5,3
6,Trần Trang,trantrang48@gmail.com,Nữ,1999-02-18,HCM,2025-01-03,3.6,41
7,Đỗ Huy,đohuy24@gmail.com,Nam,2004-01-22,HCM,2024-01-11,3.5,19
8,Lý Dung,lydung54@gmail.com,Nữ,1987-05-15,Cần Thơ,2023-04-22,4.3,24
9,Phan Huy,phanhuy10@gmail.com,Nam,1990-12-22,Đà Nẵng,2024-01-29,4.3,39
10,Ngô Khoa,ngokhoa63@gmail.com,Nam,1990-08-13,Đà Nẵng,2024-12-29,3.5,41
11,Hồ Long,holong30@gmail.com,Nam,2002-04-27,HCM,2023-03-26,3.1,21
12,Trần Huy,tranhuy29@gmail.com,Nam,1997-04-21,Hải Phòng,2023-07-03,4.0,42
13,Hoàng Hà,hoangha36@gmail.com,Nữ,1999-12-18,Cần Thơ,2022-10-20,4.1,48
14,Đinh Tâm,đinhtam67@gmail.com,Nữ,2003-06-08,HCM,2024-05-27,5.0,9
15,Trần Xuân,tranxuan92@gmail.com,Nam,2001-02-05,HCM,2024-10-07,4.3,44
16,Trần Nam,trannam99@gmail.com,Nam,1998-10-15,HCM,2025-05-06,4.1,36
17,Ngô Dung,ngodung97@gmail.com,Nữ,1985-11-11,Hà Nội,2025-10-25,3.2,28
18,Nguyễn Việt,nguyenviet65@gmail.com,Nam,1990-09-25,Hà Nội,2024-07-18,3.4,7
19,Bùi Thảo,buithao82@gmail.com,Nữ,1994-03-12,Hà Nội,2025-08-01,4.5,35
20,Đỗ Long,đolong31@gmail.com,Nam,2001-01-04,HCM,2022-01-02,4.9,20
21,Phạm Hùng,phamhung40@gmail.com,Nam,1992-02-24,Đà Nẵng,2022-04-29,4.0,5
22,Lê Tuấn,letuan29@gmail.com,Nam,2002-09-06,HCM,2022-09-15,3.5,39
23,Đinh Sơn,đinhson98@gmail.com,Nam,1998-12-10,HCM,2023-03-10,3.8,43
24,Đinh Quân,đinhquan90@gmail.com,Nam,1996-02-08,Hà Nội,2024-06-16,3.4,22
25,Bùi Khoa,buikhoa50@gmail.com,Nam,1985-01-03,Hà Nội,2025-04-19,4.4,4
26,Đinh Bình,đinhbinh24@gmail.com,Nam,1992-02-17,Cần Thơ,2022-05-19,3.5,43
27,Bùi Hà,buiha16@gmail.com,Nữ,2000-04-26,HCM,2023-03-15,3.9,27
28,Trần Tuấn,trantuan68@gmail.com,Nam,1991-06-14,Hà Nội,2022-07-13,3.8,47
29,Hồ Thu,hothu78@gmail.com,Nữ,1986-01-13,Đà Nẵng,2025-10-11,4.5,7
30,Phạm Sơn,phamson78@gmail.com,Nam,1992-03-14,HCM,2023-01-28,3.4,30
31,Đặng Yến,đangyen58@gmail.com,Nữ,1992-01-21,Đà Nẵng,2022-06-04,5.0,1
32,Lê Nga,lenga61@gmail.com,Nữ,1987-08-07,HCM,2023-04-30,4.7,4
33,Nguyễn Nam,nguyennam24@gmail.com,Nam,1990-08-10,HCM,2024-02-16,3.8,47
34,Ngô Phúc,ngophuc56@gmail.com,Nam,2002-04-10,Hải Phòng,2025-09-17,3.4,4
35,Nguyễn Việt,nguyenviet10@gmail.com,Nam,2003-01-02,Hải Phòng,2025-01-15,4.2,33
36,Nguyễn Quân,nguyenquan42@gmail.com,Nam,2001-03-03,Cần Thơ,2022-11-19,4.2,44
37,Trần Hùng,tranhung14@gmail.com,Nam,1992-10-20,Hà Nội,2024-04-06,3.1,6
38,Đỗ Tâm,đotam57@gmail.com,Nữ,1998-05-07,HCM,2025-09-08,4.3,21
39,Vũ Hà,vuha34@gmail.com,Nữ,1992-08-11,Đà Nẵng,2023-06-28,4.9,5
40,Đỗ Tâm,đotam17@gmail.com,Nữ,1985-02-18,Hà Nội,2024-07-27,3.4,17
41,Đinh Cường,đinhcuong65@gmail.com,Nam,1989-06-10,HCM,2023-12-16,3.3,35
42,Dương Thu,duongthu72@gmail.com,Nữ,1994-11-27,Hà Nội,2025-06-06,4.1,43
43,Hoàng Dung,hoangdung31@gmail.com,Nữ,1988-12-18,HCM,2022-10-03,3.3,19
44,Ngô Long,ngolong31@gmail.com,Nam,2004-11-21,Hải Phòng,2023-03-08,4.7,33
45,Đinh Trang,đinhtrang72@gmail.com,Nữ,2000-02-21,HCM,2023-05-30,3.8,18
46,Phan Xuân,phanxuan26@gmail.com,Nam,1986-11-09,Đà Nẵng,2022-01-08,3.3,29
47,Vũ Sơn,vuson94@gmail.com,Nam,2002-02-03,Hà Nội,2025-12-16,4.9,45
48,Nguyễn Minh,nguyenminh15@gmail.com,Nam,1989-10-18,Hà Nội,2025-01-22,3.3,9
49,Phan Hùng,phanhung46@gmail.com,Nam,1986-06-07,Hà Nội,2023-09-24,4.4,43
50,Dương Sơn,duongson59@gmail.com,Nam,1988-10-24,HCM,2023-12-26,3.3,16
51,Đinh Nga,đinhnga66@gmail.com,Nữ,1990-03-24,Hải Phòng,2022-12-29,4.8,27
52,Lê Yến,leyen76@gmail.com,Nữ,1992-07-28,Cần Thơ,2023-07-01,3.1,31
53,Lý Trang,lytrang66@gmail.com,Nữ,1992-06-10,Hải Phòng,2023-02-13,4.6,15
54,Hồ Huy,hohuy34@gmail.com,Nam,1992-06-09,Cần Thơ,2022-02-18,4.7,50
55,Hồ Quân,hoquan46@gmail.com,Nam,1993-11-27,Đà Nẵng,2023-12-21,4.1,2
56,Lê Tâm,letam25@gmail.com,Nữ,1988-01-04,Hải Phòng,2023-06-19,4.2,23
57,Đỗ Quân,đoquan98@gmail.com,Nam,1995-07-19,HCM,2024-06-12,3.4,3
58,Bùi Trang,buitrang47@gmail.com,Nữ,1998-06-14,HCM,2022-01-04,3.1,43
59,Phan Tuấn,phantuan73@gmail.com,Nam,1995-12-10,HCM,2025-06-30,4.0,43
60,Vũ Uyên,vuuyen45@gmail.com,Nữ,1998-09-05,Hà Nội,2023-10-31,3.4,43
61,Ngô Hùng,ngohung12@gmail.com,Nam,1997-10-19,Hà Nội,2025-10-19,3.6,36
62,Hoàng Huy,hoanghuy29@gmail.com,Nam,1985-10-20,HCM,2023-09-15,4.3,30
63,Hồ Huy,hohuy66@gmail.com,Nam,1999-12-06,Cần Thơ,2024-06-24,4.3,19
64,Hồ Thảo,hothao30@gmail.com,Nữ,2001-02-27,Hà Nội,2025-09-21,4.9,16
65,Dương Huy,duonghuy70@gmail.com,Nam,1994-01-02,HCM,2023-04-06,3.5,31
66,Đặng Nga,đangnga54@gmail.com,Nữ,2004-12-23,Hà Nội,2022-05-30,3.8,26
67,Hồ Uyên,houyen90@gmail.com,Nữ,1992-02-25,HCM,2022-10-30,3.9,12
68,Nguyễn Sơn,nguyenson98@gmail.com,Nam,2001-02-15,Cần Thơ,2024-08-09,3.3,30
69,Đỗ Long,đolong29@gmail.com,Nam,2001-10-27,HCM,2025-02-18,4.4,33
70,Đặng Hùng,đanghung86@gmail.com,Nam,1998-12-28,Hải Phòng,2025-01-27,3.9,17
71,Hoàng Xuân,hoangxuan75@gmail.com,Nam,1992-11-08,Cần Thơ,2025-07-29,3.5,5
72,Hoàng Long,hoanglong69@gmail.com,Nam,1994-09-03,HCM,2023-04-26,3.3,15
73,Lê Uyên,leuyen59@gmail.com,Nữ,1997-02-14,HCM,2025-11-22,3.8,35
