lich_su_id,user_id,book_id,ngay_bat_dau,ngay_ket_thuc,rating_user,review_text,trang_thai,phan_tram_hoan_thanh,sentiment,reading_id,so_trang_doc,thoi_gian_doc_phut,ten_sach,tac_gia,the_loai,so_trang,loai_sach,rating_book,nam_xuat_ban,quoc_gia,gia_sach,price_range,rating_level,ho_ten,email,gioi_tinh,ngay_sinh,thanh_pho,ngay_dang_ky,diem_danh_gia_trung_binh,so_luong_sach_da_mua_x,tuoi,age_group,so_luong_sach_da_mua_y,so_luong_sach_da_mua
1.0,5,36,2024-12-18 00:00:00,2024-12-24,1.0,Nội dung yếu,Bỏ dở,83.0,Negative,,,,Romeo and Juliet,Nam Cao,Romance,868,Truyện chữ,3.6,2020,Vietnam,238000,Medium,Average,Vũ Dung,vudung25@gmail.com,Nữ,1988-06-20 00:00:00,HCM,2022-07-09,3.5,3.0,38.0,35+,15.0,18.0
2.0,10,35,2024-12-13 00:00:00,2024-12-17,2.0,Không hay lắm,Chưa bắt đầu,98.0,Negative,,,,Tipping Point,Dan Brown,Business,576,Truyện chữ,3.9,2018,USA,329000,High,Average,Ngô Khoa,ngokhoa63@gmail.com,Nam,1990-08-13 00:00:00,Đà Nẵng,2024-12-29,3.5,41.0,36.0,35+,22.0,27.0
3.0,2,3,2024-03-13 00:00:00,2024-03-16,1.0,Nội dung yếu,Chưa bắt đầu,52.0,Negative,,,,Sapiens,Yuval Noah Harari,Manga,455,Truyện tranh,4.4,2017,Israel,256000,High,Good,Đỗ Nga,đonga16@gmail.com,Nam,2002-01-03 00:00:00,Hải Phòng,2022-06-28,3.4,33.0,24.0,18-25,21.0,30.0
4.0,2,24,2024-11-12 00:00:00,2024-11-18,1.0,Nội dung yếu,Chưa bắt đầu,23.0,Negative,,,,Good to Great,Mark Twain,Classic,898,Truyện chữ,4.9,2024,USA,180000,Medium,Excellent,Đỗ Nga,đonga16@gmail.com,Nam,2002-01-03 00:00:00,Hải Phòng,2022-06-28,3.4,33.0,24.0,18-25,21.0,30.0
5.0,2,41,2024-12-11 00:00:00,2024-12-15,5.0,Rất hay,Chưa bắt đầu,27.0,Positive,,,,Kỹ Năng Giao Tiếp,Haruki Murakami,Romance,314,Truyện chữ,4.2,2024,Japan,332000,High,Good,Đỗ Nga,đonga16@gmail.com,Nam,2002-01-03 00:00:00,Hải Phòng,2022-06-28,3.4,33.0,24.0,18-25,21.0,30.0
6.0,1,25,2024-03-10 00:00:00,2024-03-14,1.0,Hơi chán,Đã đọc xong,83.0,Negative,,,,Start with Why,Osamu Dazai,Classic,168,Truyện tranh,3.2,2021,Japan,199000,Medium,Low,Ngô Lan,ngolan81@gmail.com,Nam,1988-04-05 00:00:00,Hà Nội,2022-02-21,4.5,44.0,38.0,35+,18.0,23.0
7.0,3,18,2024-04-07 00:00:00,2024-04-13,1.0,Nội dung yếu,Chưa bắt đầu,41.0,Negative,,,,Số Đỏ,Vũ Trọng Phụng,Classic,500,Truyện chữ,5.0,2024,Vietnam,155000,Medium,Excellent,Bùi Huy,buihuy95@gmail.com,Nữ,2004-04-15 00:00:00,Đà Nẵng,2022-02-24,4.2,1.0,22.0,18-25,17.0,21.0
8.0,6,2,2024-07-02 00:00:00,2024-07-07,2.0,Hơi chán,Chưa bắt đầu,64.0,Negative,,,,Nhà Giả Kim,Paulo Coelho,Literature,748,Truyện chữ,3.2,2020,Brazil,228000,Medium,Low,Trần Trang,trantrang48@gmail.com,Nữ,1999-02-18 00:00:00,HCM,2025-01-03,3.6,41.0,27.0,25-35,21.0,32.0
9.0,9,37,2024-05-19 00:00:00,2024-05-22,2.0,Không hay lắm,Bỏ dở,38.0,Negative,,,,Pride and Prejudice,Ernest Hemingway,Classic,580,Truyện tranh,3.4,2018,UK,152000,Medium,Low,Phan Huy,phanhuy10@gmail.com,Nữ,1990-12-22 00:00:00,Đà Nẵng,2024-01-29,4.3,39.0,36.0,35+,22.0,26.0
10.0,1,21,2024-12-10 00:00:00,2024-12-18,4.0,Rất hay,Đã đọc xong,83.0,Positive,,,,Rich Dad Poor Dad,Victor Hugo,Business,430,Truyện chữ,4.6,2012,France,163000,Medium,Excellent,Ngô Lan,ngolan81@gmail.com,Nam,1988-04-05 00:00:00,Hà Nội,2022-02-21,4.5,44.0,38.0,35+,18.0,23.0
11.0,7,27,2024-12-15 00:00:00,2024-12-24,1.0,Không hay lắm,Đã đọc xong,79.0,Negative,,,,Agatha Christie Collection,Nam Cao,Fantasy,752,Truyện chữ,3.5,2023,Vietnam,236000,Medium,Average,Đỗ Huy,đohuy24@gmail.com,Nam,2004-01-22 00:00:00,HCM,2024-01-11,3.5,19.0,22.0,18-25,25.0,29.0
12.0,1,44,2024-06-07 00:00:00,2024-06-15,4.0,Rất hay,Chưa bắt đầu,43.0,Positive,,,,Sức Mạnh Hiện Tại,Ernest Hemingway,Business,226,Truyện tranh,4.5,2024,USA,201000,Medium,Excellent,Ngô Lan,ngolan81@gmail.com,Nam,1988-04-05 00:00:00,Hà Nội,2022-02-21,4.5,44.0,38.0,35+,18.0,23.0
13.0,10,17,2024-06-17 00:00:00,2024-06-26,2.0,Không hay lắm,Đã đọc xong,100.0,Negative,,,,Quê Hương Tuổi Thơ,Osamu Dazai,Fantasy,573,Truyện chữ,4.8,2012,Japan,185000,Medium,Excellent,Ngô Khoa,ngokhoa63@gmail.com,Nam,1990-08-13 00:00:00,Đà Nẵng,2024-12-29,3.5,41.0,36.0,35+,22.0,27.0
14.0,8,23,2024-09-19 00:00:00,2024-09-29,3.0,Ổn áp,Đã đọc xong,43.0,Positive,,,,Zero to One,Victor Hugo,Romance,589,Truyện chữ,3.9,2010,France,185000,Medium,Average,Lý Dung,lydung54@gmail.com,Nữ,1987-05-15 00:00:00,Cần Thơ,2023-04-22,4.3,24.0,39.0,35+,19.0,25.0
15.0,6,48,2024-01-13 00:00:00,2024-01-17,4.0,Rất hay,Bỏ dở,73.0,Positive,,,,Những Người Khốn Khổ,Ernest Hemingway,Business,291,Truyện tranh,4.4,2015,USA,309000,High,Good,Trần Trang,trantrang48@gmail.com,Nữ,1999-02-18 00:00:00,HCM,2025-01-03,3.6,41.0,27.0,25-35,21.0,32.0
16.0,2,37,2024-07-04 00:00:00,2024-07-07,3.0,Ổn áp,Bỏ dở,84.0,Negative,,,,Pride and Prejudice,Ernest Hemingway,Classic,580,Truyện tranh,3.4,2018,UK,152000,Medium,Low,Đỗ Nga,đonga16@gmail.com,Nam,2002-01-03 00:00:00,Hải Phòng,2022-06-28,3.4,33.0,24.0,18-25,21.0,30.0
17.0,3,30,2024-11-18 00:00:00,2024-11-28,5.0,Rất hay,Đang đọc,81.0,Positive,,,,Big Little Lies,J.K. Rowling,History,342,Truyện chữ,4.9,2024,UK,90000,Low,Excellent,Bùi Huy,buihuy95@gmail.com,Nữ,2004-04-15 00:00:00,Đà Nẵng,2022-02-24,4.2,1.0,22.0,18-25,17.0,21.0
18.0,9,34,2024-05-08 00:00:00,2024-05-14,1.0,Không hay lắm,Bỏ dở,92.0,Negative,,,,Outliers,Nam Cao,Literature,827,Truyện chữ,4.4,2010,Vietnam,141000,Medium,Good,Phan Huy,phanhuy10@gmail.com,Nữ,1990-12-22 00:00:00,Đà Nẵng,2024-01-29,4.3,39.0,36.0,35+,22.0,26.0
19.0,5,26,2024-01-16 00:00:00,2024-01-20,2.0,Không hay lắm,Bỏ dở,76.0,Negative,,,,Sherlock Holmes,J.K. Rowling,Literature,860,Truyện chữ,3.8,2011,UK,344000,High,Average,Vũ Dung,vudung25@gmail.com,Nữ,1988-06-20 00:00:00,HCM,2022-07-09,3.5,3.0,38.0,35+,15.0,18.0
20.0,1,31,2024-07-10 00:00:00,2024-07-14,2.0,Nội dung yếu,Đã đọc xong,62.0,Negative,,,,Lịch Sử Loài Người,Natsume Soseki,Classic,383,Truyện chữ,4.5,2012,Japan,91000,Low,Excellent,Ngô Lan,ngolan81@gmail.com,Nam,1988-04-05 00:00:00,Hà Nội,2022-02-21,4.5,44.0,38.0,35+,18.0,23.0
21.0,8,21,2024-01-06 00:00:00,2024-01-16,2.0,Hơi chán,Đang đọc,67.0,Negative,,,,Rich Dad Poor Dad,Victor Hugo,Business,430,Truyện chữ,4.6,2012,France,163000,Medium,Excellent,Lý Dung,lydung54@gmail.com,Nữ,1987-05-15 00:00:00,Cần Thơ,2023-04-22,4.3,24.0,39.0,35+,19.0,25.0
22.0,7,23,2024-04-18 00:00:00,2024-04-21,3.0,Ổn áp,Đang đọc,53.0,Negative,,,,Zero to One,Victor Hugo,Romance,589,Truyện chữ,3.9,2010,France,185000,Medium,Average,Đỗ Huy,đohuy24@gmail.com,Nam,2004-01-22 00:00:00,HCM,2024-01-11,3.5,19.0,22.0,18-25,25.0,29.0
